DateTime,Number of Cargo Ships,Number of Tanker Ships,7-day Moving Average,Prior Year: 7-day Moving Average,Daily Transit Trade Volume (Metric Ton),7-day Moving Average,Prior Year: 7-day Moving Average
5/21/24,23,14,32.71428571,77.71428571,1909692.658,1641990.241,5462483.693
5/20/24,23,13,31.42857143,80.85714286,1958639.529,1578789.341,5619089.408
5/19/24,20,13,34.57142857,81.28571429,1469977.113,1689207.653,5526313.527
5/18/24,15,10,34.42857143,79.57142857,1407574.866,1683855.558,5457621.335
5/17/24,18,11,35.71428571,79.14285714,1417027.731,1690494.477,5478595.912
5/16/24,22,12,36.14285714,77.57142857,1551803.337,1730434.159,5519336.01
5/15/24,23,12,37.28571429,76.57142857,1779216.45,1792691.487,5429815.404
5/14/24,18,10,37.85714286,76.28571429,1467286.359,1828136.486,5223325.211
5/13/24,42,16,38.85714286,75,2731567.712,1857664.2,5161451.6
5/12/24,21,11,35.14285714,76,1432512.452,1689914.786,5262279.256
5/11/24,25,9,34.14285714,76.57142857,1454047.295,1630922.063,5332295.139
5/10/24,18,14,34.57142857,78,1696605.505,1727025.38,5247294.637
5/9/24,27,15,34.28571429,78.42857143,1987604.639,1703676.418,5128708.748
5/8/24,25,14,32.42857143,78,2027331.438,1619918.057,5166241.298
5/7/24,18,17,30.28571429,81.57142857,1673980.359,1526927.369,5440664.167
5/6/24,21,11,30.42857143,81.14285714,1557321.809,1556053.147,5488905.217
5/5/24,20,5,30.42857143,81.85714286,1019563.395,1539185.385,5583454.737
5/4/24,27,10,31.57142857,81.57142857,2126770.517,1636229.195,5568914.142
5/3/24,23,7,30.28571429,80.85714286,1533162.769,1543025.229,5721724.365
5/2/24,20,9,31.57142857,80.71428571,1401296.109,1606067.017,5896806.669
5/1/24,15,9,31.14285714,81.57142857,1376396.624,1590286.081,5982928.459
4/30/24,21,15,32,78.85714286,1877860.804,1594595.256,5825174.855
4/29/24,24,8,31,78.85714286,1439247.475,1523834.439,5673208.25
4/28/24,23,10,32.57142857,78.71428571,1698870.068,1623722.711,5600928.657
4/27/24,15,13,34.85714286,78.57142857,1474342.757,1731193.264,5517280.357
4/26/24,32,7,34.85714286,78,1974455.279,1753725,5409732.829
4/25/24,16,10,34.71428571,79.14285714,1290829.562,1695322.513,5459750.846
4/24/24,21,9,35.28571429,80,1406560.844,1689673.088,5440801.478
4/23/24,23,6,36.14285714,79.14285714,1382535.087,1779090.512,5402579.676
4/22/24,27,16,38.57142857,79.85714286,2138465.382,1887091.064,5522950.892
4/21/24,31,18,38.28571429,78.42857143,2451163.935,1944454.581,5438602.439
4/20/24,24,4,35.28571429,78.28571429,1632064.91,1779327.86,5571099.283
4/19/24,31,7,36.14285714,80,1565637.869,1755034.452,5574008.428
4/18/24,19,11,35.57142857,76.71428571,1251283.589,1872738.276,5324203.547
